Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Rhode Island,Male,Smokeless Tobacco Use (Youth),1.8,52,22,17,4,High,High,Moderate,Professional Help,9,Curiosity,No
Maryland,Overall,Cigarette Use (Youth),51.2,37,15,1,9,Medium,High,Moderate,None,3,Family Influence,No
Massachusetts,Overall,Cigarette Use (Youth),7.1,30,1,33,2,High,Medium,Moderate,None,1,Family Influence,No
Kentucky,Male,Smokeless Tobacco Use (Youth),11.8,55,2,30,0,Medium,High,Sedentary,None,2,Curiosity,No
New Hampshire,Female,Cigarette Use (Youth),4.9,25,8,5,0,Medium,Medium,Sedentary,Family & Friends,2,Curiosity,Yes
New Jersey,Male,Cigarette Use (Youth),32.9,37,22,12,3,Medium,Low,Sedentary,Family & Friends,8,Media Influence,No
Kentucky,Female,Cessation (Youth),52.2,50,25,38,9,High,Medium,Sedentary,Family & Friends,9,Media Influence,No
Ohio,Male,Cigarette Use (Youth),41.2,43,2,32,9,High,Medium,Active,Professional Help,3,Media Influence,Yes
Louisiana,Female,Smokeless Tobacco Use (Youth),1.6,56,9,38,3,Low,Medium,Active,Professional Help,5,Peer Pressure,No
South Carolina,Female,Cigarette Use (Youth),1.4,38,9,17,8,Medium,Medium,Active,Professional Help,8,Stress Relief,No
Kansas,Male,Cigarette Use (Youth),1.4,59,13,32,7,Medium,Medium,Sedentary,Family & Friends,9,Stress Relief,No
Mississippi,Female,Cigarette Use (Youth),4.4,58,6,24,3,High,Medium,Active,None,7,Peer Pressure,No
New Jersey,Overall,Smokeless Tobacco Use (Youth),1.1,26,30,12,5,Medium,Low,Sedentary,None,8,Media Influence,No
Iowa,Female,Cigarette Use (Youth),6.2,41,15,31,6,High,Low,Sedentary,Family & Friends,5,Stress Relief,No
Alabama,Male,Smokeless Tobacco Use (Youth),11.4,54,15,19,9,Low,Low,Moderate,None,1,Media Influence,No
New Hampshire,Overall,Cigarette Use (Youth),57.9,58,7,29,7,Medium,Medium,Moderate,None,4,Curiosity,No
California,Overall,Cigarette Use (Youth),60.5,34,11,21,3,High,High,Sedentary,Family & Friends,9,Peer Pressure,No
Ohio,Male,Smokeless Tobacco Use (Youth),1.4,41,38,26,0,High,Medium,Moderate,None,2,Media Influence,No
North Dakota,Female,Smokeless Tobacco Use (Youth),9.1,38,2,28,4,Medium,Low,Moderate,Family & Friends,2,Peer Pressure,Yes
North Carolina,Male,Cigarette Use (Youth),1.3,56,39,17,0,Low,Medium,Moderate,Professional Help,9,Family Influence,No
Connecticut,Overall,Smokeless Tobacco Use (Youth),4.9,58,10,9,3,High,Low,Moderate,None,0,Peer Pressure,No
Maryland,Female,Cessation (Youth),65.6,56,17,21,6,Medium,High,Active,Family & Friends,3,Peer Pressure,Yes
District of Columbia,Male,Smokeless Tobacco Use (Youth),11.2,30,7,34,6,Low,High,Moderate,Professional Help,6,Media Influence,No
Louisiana,Overall,Cessation (Youth),52.6,28,39,11,0,High,Low,Sedentary,None,2,Peer Pressure,No
New Jersey,Overall,Cessation (Youth),53.0,36,4,20,8,Low,Low,Moderate,Professional Help,6,Family Influence,No
Illinois,Female,Cessation (Youth),42.1,28,35,39,1,High,Medium,Moderate,None,5,Curiosity,No
West Virginia,Female,Cessation (Youth),50.1,30,36,16,4,Medium,Medium,Active,Professional Help,0,Stress Relief,Yes
Missouri,Overall,Cigarette Use (Youth),19.4,18,31,29,5,Medium,Medium,Active,Professional Help,4,Curiosity,Yes
New Jersey,Overall,Smokeless Tobacco Use (Youth),6.9,57,25,1,0,Medium,High,Active,None,5,Peer Pressure,No
New Jersey,Overall,Smokeless Tobacco Use (Youth),0.3,36,13,18,1,Low,High,Moderate,Family & Friends,8,Family Influence,No
South Carolina,Female,Cigarette Use (Youth),24.5,29,18,22,6,Low,High,Sedentary,Professional Help,9,Family Influence,No
South Dakota,Overall,Cigarette Use (Youth),57.9,25,21,8,5,Medium,Medium,Active,Family & Friends,5,Curiosity,No
Illinois,Male,Smokeless Tobacco Use (Youth),4.3,25,1,7,5,High,Low,Moderate,Professional Help,7,Media Influence,No
New Hampshire,Female,Smokeless Tobacco Use (Youth),0.4,29,36,25,5,Low,Low,Moderate,Professional Help,1,Stress Relief,Yes
Missouri,Female,Smokeless Tobacco Use (Youth),2.5,50,8,30,6,Low,Medium,Moderate,None,0,Peer Pressure,No
Georgia,Overall,Smokeless Tobacco Use (Youth),4.4,43,21,34,9,High,Medium,Active,Professional Help,0,Peer Pressure,Yes
Iowa,Female,Smokeless Tobacco Use (Youth),1.2,56,21,11,8,High,Low,Moderate,Professional Help,6,Curiosity,No
Kentucky,Male,Cigarette Use (Youth),68.2,45,27,15,8,Medium,Low,Active,Family & Friends,7,Family Influence,No
Arkansas,Female,Cigarette Use (Youth),2.1,22,19,35,1,Low,High,Moderate,Family & Friends,7,Family Influence,No
Alabama,Male,Smokeless Tobacco Use (Youth),11.7,25,23,23,1,High,Medium,Sedentary,Family & Friends,2,Media Influence,Yes
South Carolina,Female,Smokeless Tobacco Use (Youth),1.8,42,35,21,4,High,High,Sedentary,None,4,Stress Relief,No
Wisconsin,Overall,Smokeless Tobacco Use (Youth),5.0,44,5,28,9,Medium,High,Moderate,Family & Friends,6,Peer Pressure,No
North Dakota,Overall,Smokeless Tobacco Use (Youth),13.1,40,8,13,6,Medium,Low,Active,None,8,Curiosity,No
Wisconsin,Female,Smokeless Tobacco Use (Youth),0.4,47,11,34,2,Low,Medium,Moderate,None,4,Media Influence,No
Connecticut,Overall,Smokeless Tobacco Use (Youth),15.2,40,16,38,2,High,Low,Sedentary,Family & Friends,3,Stress Relief,Yes
North Dakota,Overall,Smokeless Tobacco Use (Youth),0.9,37,39,6,3,Medium,High,Moderate,Professional Help,3,Peer Pressure,Yes
South Dakota,Female,Smokeless Tobacco Use (Youth),0.5,35,24,4,2,Low,Medium,Active,Professional Help,5,Stress Relief,No
North Dakota,Male,Cigarette Use (Youth),33.8,35,21,5,2,Medium,High,Active,Family & Friends,8,Peer Pressure,No
Mississippi,Male,Smokeless Tobacco Use (Youth),1.8,19,23,6,7,Low,High,Active,Professional Help,0,Stress Relief,Yes
Delaware,Male,Cigarette Use (Youth),3.3,21,38,21,6,High,Low,Active,None,0,Stress Relief,No
Wisconsin,Male,Smokeless Tobacco Use (Youth),2.4,47,8,28,6,Medium,Medium,Sedentary,Family & Friends,0,Curiosity,Yes
Michigan,Female,Smokeless Tobacco Use (Youth),1.9,50,7,3,9,Low,Medium,Active,None,3,Media Influence,No
Oklahoma,Overall,Cessation (Youth),54.6,53,2,23,1,Low,Medium,Active,Family & Friends,3,Family Influence,Yes
Pennsylvania,Male,Cigarette Use (Youth),63.4,35,30,8,8,High,Medium,Sedentary,Professional Help,7,Stress Relief,No
North Dakota,Female,Smokeless Tobacco Use (Youth),0.4,54,13,19,5,Medium,High,Active,Professional Help,4,Curiosity,Yes
Delaware,Overall,Cessation (Youth),50.0,36,23,11,2,Low,Low,Sedentary,None,9,Family Influence,No
Rhode Island,Male,Cigarette Use (Youth),2.0,45,29,10,8,Low,Medium,Active,Professional Help,3,Media Influence,Yes
New Jersey,Female,Smokeless Tobacco Use (Youth),1.8,57,38,28,8,Low,High,Active,Professional Help,7,Media Influence,No
South Dakota,Female,Smokeless Tobacco Use (Youth),0.5,37,37,20,5,Low,Low,Active,None,6,Stress Relief,No
Iowa,Overall,Cigarette Use (Youth),11.4,50,20,28,9,Medium,Low,Active,None,5,Peer Pressure,No
South Dakota,Female,Cigarette Use (Youth),1.1,29,33,29,5,Medium,Low,Moderate,None,1,Media Influence,No
Georgia,Overall,Cigarette Use (Youth),30.0,32,29,8,7,Low,Medium,Moderate,Family & Friends,4,Curiosity,Yes
New Jersey,Female,Cigarette Use (Youth),25.7,58,15,19,7,Medium,High,Active,None,1,Stress Relief,No
Mississippi,Male,Cigarette Use (Youth),0.5,56,23,21,5,Medium,Low,Active,Family & Friends,5,Media Influence,No
Indiana,Overall,Cigarette Use (Youth),21.4,19,3,18,6,High,Low,Active,Family & Friends,8,Stress Relief,No
Delaware,Overall,Smokeless Tobacco Use (Youth),1.9,46,37,9,3,High,Low,Moderate,Family & Friends,8,Peer Pressure,No
Nebraska,Overall,Cigarette Use (Youth),25.9,58,29,4,0,Low,High,Active,None,5,Media Influence,No
Iowa,Female,Cessation (Youth),58.2,27,8,25,3,High,High,Sedentary,Family & Friends,3,Stress Relief,Yes
Mississippi,Male,Smokeless Tobacco Use (Youth),12.1,19,22,34,7,Medium,Medium,Moderate,Professional Help,9,Curiosity,No
Maryland,Overall,Smokeless Tobacco Use (Youth),1.4,28,29,9,7,Low,Medium,Moderate,None,8,Media Influence,No
Hawaii,Male,Smokeless Tobacco Use (Youth),0.7,30,2,9,1,High,High,Moderate,None,4,Peer Pressure,No
Florida,Female,Smokeless Tobacco Use (Youth),0.7,27,1,18,6,Low,Medium,Active,Family & Friends,7,Family Influence,No
Delaware,Female,Cigarette Use (Youth),6.1,31,20,11,0,Low,High,Sedentary,None,8,Family Influence,No
Louisiana,Overall,Smokeless Tobacco Use (Youth),1.8,35,21,13,1,High,Medium,Moderate,Family & Friends,4,Stress Relief,Yes
Missouri,Female,Cessation (Youth),51.5,26,37,38,7,Medium,Medium,Sedentary,None,5,Media Influence,No
New Hampshire,Overall,Cigarette Use (Youth),18.5,56,8,9,9,Medium,High,Sedentary,Family & Friends,3,Media Influence,Yes
Louisiana,Male,Cigarette Use (Youth),6.6,45,27,16,3,High,Low,Sedentary,None,0,Peer Pressure,No
Ohio,Male,Smokeless Tobacco Use (Youth),15.9,20,35,4,2,High,Low,Active,None,0,Family Influence,No
Alabama,Female,Smokeless Tobacco Use (Youth),0.6,37,6,34,1,High,Medium,Active,Family & Friends,4,Curiosity,Yes
Iowa,Male,Cessation (Youth),56.0,23,19,7,5,High,Low,Active,Professional Help,2,Family Influence,Yes
Arizona,Male,Cessation (Youth),44.5,44,18,15,3,Low,Low,Moderate,None,6,Media Influence,No
Louisiana,Overall,Cessation (Youth),38.0,19,1,38,2,Medium,Medium,Moderate,Professional Help,3,Curiosity,Yes
Illinois,Female,Cigarette Use (Youth),4.8,46,25,11,2,Medium,Low,Sedentary,Professional Help,3,Curiosity,Yes
Arizona,Male,Smokeless Tobacco Use (Youth),0.6,55,27,32,9,High,High,Moderate,None,3,Peer Pressure,No
Wisconsin,Overall,Cigarette Use (Youth),4.7,20,7,27,2,Medium,High,Active,None,5,Stress Relief,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),1.2,33,29,30,7,Medium,Low,Active,Family & Friends,8,Stress Relief,No
South Dakota,Female,Smokeless Tobacco Use (Youth),6.0,47,31,17,8,Medium,High,Active,Family & Friends,8,Peer Pressure,No
Louisiana,Overall,Cessation (Youth),50.6,57,36,36,8,High,High,Active,Professional Help,4,Media Influence,Yes
Florida,Overall,Cigarette Use (Youth),30.3,19,19,19,4,High,Low,Sedentary,Family & Friends,7,Media Influence,No
Arkansas,Overall,Cigarette Use (Youth),9.3,34,6,7,0,Medium,High,Moderate,Family & Friends,3,Stress Relief,Yes
Oklahoma,Female,Cigarette Use (Youth),33.2,58,25,21,9,High,Medium,Active,Family & Friends,7,Family Influence,No
Mississippi,Female,Cigarette Use (Youth),3.8,29,31,28,4,Medium,Medium,Sedentary,Family & Friends,9,Peer Pressure,No
New Hampshire,Male,Smokeless Tobacco Use (Youth),21.8,52,9,3,0,High,Medium,Moderate,None,8,Family Influence,No
Alabama,Overall,Smokeless Tobacco Use (Youth),2.0,18,20,14,8,Medium,Low,Sedentary,Family & Friends,7,Peer Pressure,No
Kentucky,Male,Cessation (Youth),44.0,32,10,2,9,High,High,Active,Professional Help,7,Peer Pressure,No
New York,Overall,Cessation (Youth),76.3,43,37,29,7,Medium,Low,Active,None,8,Stress Relief,No
Mississippi,Male,Smokeless Tobacco Use (Youth),16.9,54,27,18,6,High,Low,Active,None,9,Stress Relief,No
Hawaii,Overall,Smokeless Tobacco Use (Youth),3.3,38,13,37,1,High,High,Moderate,Professional Help,7,Family Influence,No
Missouri,Male,Cigarette Use (Youth),21.6,48,2,24,1,Medium,High,Active,None,3,Media Influence,No
Florida,Female,Smokeless Tobacco Use (Youth),97.9,42,21,12,3,Low,High,Moderate,None,4,Curiosity,No
Pennsylvania,Female,Cigarette Use (Youth),35.7,40,33,32,8,Medium,Low,Sedentary,Professional Help,9,Family Influence,No
Iowa,Overall,Cigarette Use (Youth),1.1,41,24,18,8,Medium,Low,Moderate,Family & Friends,5,Peer Pressure,No
Illinois,Female,Cessation (Youth),53.6,55,34,13,7,Low,Medium,Sedentary,None,4,Curiosity,No
North Carolina,Male,Smokeless Tobacco Use (Youth),23.8,45,9,4,4,High,Low,Moderate,Family & Friends,8,Curiosity,No
Iowa,Overall,Smokeless Tobacco Use (Youth),3.5,38,2,23,6,Low,High,Active,Professional Help,1,Curiosity,Yes
Hawaii,Male,Smokeless Tobacco Use (Youth),5.7,35,30,10,8,Medium,Low,Active,None,5,Curiosity,No
Hawaii,Female,Cigarette Use (Youth),5.9,53,22,5,2,Low,Medium,Sedentary,Family & Friends,9,Curiosity,No
Minnesota,Female,Cigarette Use (Youth),2.2,52,11,14,3,High,High,Moderate,Professional Help,1,Family Influence,Yes
Georgia,Female,Smokeless Tobacco Use (Youth),0.4,26,17,34,1,Medium,Medium,Moderate,None,7,Stress Relief,No
Oklahoma,Male,Cigarette Use (Youth),10.4,55,36,28,8,Medium,Low,Sedentary,None,7,Stress Relief,No
Indiana,Overall,Smokeless Tobacco Use (Youth),0.2,47,13,8,6,High,Low,Moderate,Family & Friends,4,Peer Pressure,Yes
Kentucky,Overall,Cigarette Use (Youth),12.1,51,7,16,5,High,Medium,Moderate,None,9,Media Influence,No
California,Overall,Cessation (Youth),42.9,49,16,31,4,Medium,Medium,Sedentary,Family & Friends,7,Family Influence,No
West Virginia,Overall,Cigarette Use (Youth),49.5,20,33,7,6,High,High,Sedentary,Family & Friends,4,Curiosity,Yes
Vermont,Female,Cigarette Use (Youth),14.2,20,1,3,2,Low,High,Sedentary,None,3,Stress Relief,No
New Jersey,Male,Smokeless Tobacco Use (Youth),9.0,45,11,29,4,Low,Medium,Moderate,Professional Help,8,Peer Pressure,No
South Dakota,Male,Smokeless Tobacco Use (Youth),4.8,32,6,36,1,Low,High,Sedentary,None,7,Curiosity,No
Illinois,Female,Smokeless Tobacco Use (Youth),2.0,58,20,39,4,Low,Medium,Sedentary,Professional Help,3,Peer Pressure,Yes
Indiana,Female,Smokeless Tobacco Use (Youth),2.4,40,35,4,6,High,Medium,Sedentary,Family & Friends,1,Curiosity,Yes
District of Columbia,Female,Cessation (Youth),53.5,57,37,9,9,Low,Low,Sedentary,Family & Friends,1,Curiosity,Yes
Alabama,Male,Cigarette Use (Youth),3.4,28,26,17,6,Low,Medium,Active,None,1,Stress Relief,No
Iowa,Male,Cigarette Use (Youth),11.3,49,12,20,8,Medium,High,Active,None,9,Stress Relief,No
Mississippi,Female,Cessation (Youth),63.0,53,30,14,2,High,Medium,Active,None,7,Curiosity,No
Hawaii,Overall,Cessation (Youth),60.5,50,28,29,7,High,Low,Sedentary,Family & Friends,5,Stress Relief,No
Mississippi,Female,Cigarette Use (Youth),32.3,41,27,13,4,High,High,Moderate,None,0,Family Influence,No
Delaware,Overall,Cigarette Use (Youth),15.2,56,19,36,6,Medium,Medium,Active,Professional Help,9,Curiosity,No
South Carolina,Male,Cigarette Use (Youth),21.6,51,5,17,0,Medium,Low,Sedentary,Professional Help,3,Stress Relief,Yes
Hawaii,Overall,Cessation (Youth),71.8,45,5,4,0,High,High,Active,Family & Friends,2,Peer Pressure,Yes
Louisiana,Overall,Smokeless Tobacco Use (Youth),3.9,54,27,20,3,Low,Low,Active,Family & Friends,9,Peer Pressure,No
Delaware,Female,Smokeless Tobacco Use (Youth),1.5,24,28,11,4,Medium,Low,Sedentary,None,6,Peer Pressure,No
Alabama,Female,Smokeless Tobacco Use (Youth),0.1,21,26,22,9,Medium,High,Sedentary,None,9,Media Influence,No
Missouri,Female,Smokeless Tobacco Use (Youth),0.5,54,27,8,2,Medium,Low,Active,Professional Help,4,Peer Pressure,Yes
Tennessee,Female,Smokeless Tobacco Use (Youth),13.2,18,21,28,5,High,Low,Sedentary,Professional Help,0,Peer Pressure,Yes
Pennsylvania,Overall,Smokeless Tobacco Use (Youth),5.8,18,1,30,2,Low,Low,Active,Family & Friends,5,Family Influence,No
Colorado,Female,Smokeless Tobacco Use (Youth),13.5,37,28,33,4,Medium,High,Active,None,3,Family Influence,No
Georgia,Overall,Cigarette Use (Youth),8.5,36,15,33,0,Medium,Low,Active,None,9,Media Influence,No
Iowa,Overall,Smokeless Tobacco Use (Youth),0.4,46,17,36,2,High,Medium,Active,None,5,Family Influence,No
Indiana,Female,Smokeless Tobacco Use (Youth),0.5,27,26,27,6,Low,Low,Moderate,None,6,Stress Relief,No
Delaware,Female,Cigarette Use (Youth),23.6,35,20,20,2,Medium,Medium,Moderate,Professional Help,8,Peer Pressure,No
Wisconsin,Female,Cigarette Use (Youth),2.9,45,25,33,4,High,Low,Sedentary,None,0,Stress Relief,No
West Virginia,Overall,Smokeless Tobacco Use (Youth),6.2,52,13,25,6,High,Medium,Moderate,Professional Help,5,Media Influence,No
Alabama,Female,Cigarette Use (Youth),7.9,48,33,19,1,Medium,High,Moderate,Family & Friends,7,Stress Relief,No
Kentucky,Overall,Cigarette Use (Youth),74.3,44,25,21,2,High,Low,Sedentary,None,3,Stress Relief,No
Alabama,Female,Cessation (Youth),52.8,28,8,33,3,High,Medium,Active,Professional Help,9,Stress Relief,No
Kansas,Male,Smokeless Tobacco Use (Youth),26.0,55,5,3,4,Medium,High,Moderate,Professional Help,8,Family Influence,No
Delaware,Male,Smokeless Tobacco Use (Youth),3.9,22,6,14,8,High,Low,Moderate,Professional Help,3,Peer Pressure,Yes
South Carolina,Male,Cigarette Use (Youth),10.1,25,23,15,8,Low,Low,Moderate,None,3,Stress Relief,No
Nebraska,Overall,Smokeless Tobacco Use (Youth),22.7,51,30,33,3,Low,Low,Moderate,Professional Help,8,Curiosity,No
Maryland,Female,Cessation (Youth),52.5,29,14,22,8,Medium,High,Active,Professional Help,3,Peer Pressure,Yes
Mississippi,Overall,Cigarette Use (Youth),3.0,55,23,1,3,Low,High,Sedentary,Family & Friends,8,Peer Pressure,No
Arkansas,Female,Cigarette Use (Youth),20.4,18,11,31,1,Low,Medium,Moderate,None,0,Curiosity,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),3.0,48,31,35,9,Medium,Low,Moderate,Professional Help,7,Media Influence,No
Connecticut,Overall,Cigarette Use (Youth),9.8,21,6,20,0,High,Medium,Moderate,Professional Help,1,Media Influence,Yes
Alabama,Male,Cigarette Use (Youth),22.1,22,11,32,6,Low,Medium,Moderate,None,7,Peer Pressure,No
Ohio,Female,Cessation (Youth),59.2,47,13,12,3,High,Medium,Sedentary,None,4,Family Influence,No
Iowa,Male,Smokeless Tobacco Use (Youth),0.8,41,12,16,7,Medium,Medium,Active,Professional Help,0,Media Influence,Yes
Iowa,Male,Smokeless Tobacco Use (Youth),41.5,20,2,8,7,Low,Medium,Sedentary,None,0,Media Influence,No
Michigan,Overall,Smokeless Tobacco Use (Youth),5.1,28,35,14,7,Medium,Low,Moderate,None,5,Stress Relief,No
Nebraska,Male,Cessation (Youth),48.9,21,36,18,5,High,High,Moderate,None,0,Stress Relief,No
Georgia,Male,Cigarette Use (Youth),12.8,43,17,30,8,Medium,Medium,Sedentary,None,1,Media Influence,No
Hawaii,Female,Smokeless Tobacco Use (Youth),0.5,44,28,33,3,Low,High,Active,None,2,Family Influence,No
West Virginia,Male,Cessation (Youth),62.1,44,28,34,4,Medium,Medium,Active,Professional Help,1,Stress Relief,Yes
Delaware,Overall,Cigarette Use (Youth),15.2,59,22,34,3,Medium,Low,Active,Professional Help,8,Family Influence,No
Kentucky,Female,Cigarette Use (Youth),31.0,23,38,7,4,Medium,Medium,Active,Family & Friends,9,Peer Pressure,No
New Jersey,Overall,Smokeless Tobacco Use (Youth),8.2,32,7,6,1,High,Medium,Sedentary,Family & Friends,5,Family Influence,No
District of Columbia,Overall,Smokeless Tobacco Use (Youth),2.3,47,15,6,4,High,Medium,Sedentary,None,8,Stress Relief,No
Georgia,Female,Smokeless Tobacco Use (Youth),0.0,59,32,22,9,High,Low,Active,None,4,Curiosity,No
Florida,Female,Smokeless Tobacco Use (Youth),2.9,54,11,8,7,High,Medium,Sedentary,Professional Help,3,Family Influence,Yes
Arkansas,Female,Smokeless Tobacco Use (Youth),0.3,54,24,37,8,Low,Low,Sedentary,Family & Friends,1,Media Influence,Yes
Alabama,Male,Cigarette Use (Youth),5.2,59,3,15,6,High,High,Moderate,None,3,Family Influence,No
Mississippi,Female,Smokeless Tobacco Use (Youth),1.3,54,30,26,6,High,High,Sedentary,None,7,Family Influence,No
Michigan,Male,Smokeless Tobacco Use (Youth),4.0,52,6,39,5,Low,High,Sedentary,Family & Friends,1,Family Influence,Yes
West Virginia,Overall,Cessation (Youth),49.5,40,2,3,1,High,Low,Active,Family & Friends,7,Media Influence,No
Alabama,Male,Cigarette Use (Youth),24.4,23,14,10,9,Medium,Medium,Sedentary,None,1,Family Influence,No
Georgia,Female,Smokeless Tobacco Use (Youth),2.0,21,18,3,9,High,High,Active,Family & Friends,0,Curiosity,Yes
West Virginia,Overall,Smokeless Tobacco Use (Youth),13.1,35,31,30,8,Low,High,Moderate,Family & Friends,3,Media Influence,Yes
Louisiana,Overall,Smokeless Tobacco Use (Youth),3.4,26,13,22,4,Medium,Medium,Moderate,Family & Friends,6,Curiosity,No
Michigan,Male,Cigarette Use (Youth),32.3,46,26,3,5,Low,High,Sedentary,Professional Help,1,Curiosity,Yes
North Carolina,Female,Cigarette Use (Youth),1.3,30,12,1,0,Medium,High,Sedentary,None,2,Curiosity,No
Colorado,Overall,Cigarette Use (Youth),31.9,34,18,33,4,Medium,Medium,Active,Family & Friends,5,Media Influence,No
West Virginia,Male,Smokeless Tobacco Use (Youth),21.1,49,9,19,5,Medium,Low,Moderate,Family & Friends,1,Stress Relief,Yes
Georgia,Female,Cigarette Use (Youth),16.5,39,21,36,9,Low,Low,Active,None,8,Media Influence,No
Delaware,Female,Cigarette Use (Youth),17.9,21,24,34,1,Medium,High,Sedentary,Professional Help,5,Family Influence,No
Tennessee,Overall,Cigarette Use (Youth),17.1,22,34,31,6,Medium,High,Moderate,None,5,Curiosity,No
New Jersey,Male,Cigarette Use (Youth),4.6,54,8,24,3,Medium,Low,Sedentary,Family & Friends,7,Family Influence,No
Louisiana,Female,Smokeless Tobacco Use (Youth),0.2,58,33,12,4,Medium,High,Moderate,Family & Friends,0,Curiosity,Yes
Kentucky,Male,Cigarette Use (Youth),21.9,30,23,13,2,Medium,Low,Active,None,9,Curiosity,No
Arizona,Male,Cigarette Use (Youth),57.1,51,13,16,4,High,High,Sedentary,Professional Help,2,Family Influence,Yes
Alabama,Overall,Smokeless Tobacco Use (Youth),25.1,39,14,16,3,Low,High,Sedentary,None,1,Peer Pressure,No
Virginia,Male,Smokeless Tobacco Use (Youth),10.9,40,14,20,9,Medium,Low,Moderate,None,0,Curiosity,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),1.8,20,16,27,5,Medium,Medium,Active,None,5,Peer Pressure,No
North Dakota,Female,Cessation (Youth),60.1,59,38,39,1,Medium,High,Moderate,Professional Help,3,Media Influence,Yes
Mississippi,Female,Cigarette Use (Youth),11.4,51,39,13,2,Medium,High,Moderate,None,5,Curiosity,No
Connecticut,Overall,Cigarette Use (Youth),8.9,49,26,4,9,Medium,Medium,Moderate,None,7,Curiosity,No
Hawaii,Male,Cigarette Use (Youth),40.7,38,26,32,0,High,High,Sedentary,None,6,Media Influence,No
New Hampshire,Female,Smokeless Tobacco Use (Youth),3.2,38,1,34,6,High,Medium,Active,Family & Friends,2,Family Influence,Yes
Idaho,Female,Cigarette Use (Youth),9.4,28,32,39,8,Medium,Medium,Active,Professional Help,2,Family Influence,Yes
Alabama,Female,Cigarette Use (Youth),1.6,56,15,17,1,Medium,Low,Active,Family & Friends,5,Peer Pressure,No
North Carolina,Male,Cigarette Use (Youth),27.7,21,21,24,6,Medium,Medium,Moderate,Family & Friends,0,Media Influence,Yes
South Dakota,Female,Cigarette Use (Youth),19.9,18,18,29,2,Low,Low,Active,None,2,Curiosity,No
Alabama,Overall,Cessation (Youth),54.2,45,30,28,4,Low,Low,Active,Family & Friends,7,Peer Pressure,No
Wisconsin,Female,Cigarette Use (Youth),26.0,41,13,22,5,High,Low,Sedentary,None,2,Family Influence,No
Missouri,Overall,Cigarette Use (Youth),5.4,52,24,28,7,High,High,Sedentary,None,0,Curiosity,No
Alabama,Male,Smokeless Tobacco Use (Youth),15.1,30,30,25,3,Low,High,Sedentary,None,9,Family Influence,No
Kentucky,Male,Cigarette Use (Youth),5.1,51,2,3,1,Medium,Medium,Moderate,Family & Friends,8,Peer Pressure,No
Wisconsin,Overall,Cessation (Youth),57.3,28,19,13,2,High,Low,Sedentary,Professional Help,1,Family Influence,Yes
Delaware,Female,Cigarette Use (Youth),6.4,53,25,31,7,Medium,High,Active,None,6,Family Influence,No
Delaware,Overall,Cessation (Youth),48.8,34,14,13,6,Medium,High,Sedentary,Professional Help,7,Media Influence,No
North Carolina,Female,Cigarette Use (Youth),54.0,52,6,18,5,High,Medium,Moderate,Professional Help,2,Peer Pressure,Yes
South Carolina,Overall,Smokeless Tobacco Use (Youth),11.9,35,12,37,4,Low,High,Sedentary,Family & Friends,6,Curiosity,No
South Carolina,Male,Smokeless Tobacco Use (Youth),18.8,57,20,34,4,Low,High,Active,None,9,Family Influence,No
Delaware,Male,Smokeless Tobacco Use (Youth),12.2,39,23,17,0,Low,High,Sedentary,Family & Friends,3,Family Influence,Yes
New Jersey,Female,Cigarette Use (Youth),26.9,41,30,21,5,Medium,High,Sedentary,Professional Help,1,Stress Relief,Yes
Hawaii,Overall,Smokeless Tobacco Use (Youth),1.3,36,30,36,8,Medium,High,Sedentary,Professional Help,3,Peer Pressure,Yes
Michigan,Overall,Cessation (Youth),57.6,54,38,19,7,Medium,High,Moderate,Professional Help,7,Peer Pressure,No
Illinois,Female,Smokeless Tobacco Use (Youth),5.8,56,30,12,9,Low,Medium,Moderate,None,1,Curiosity,No
Mississippi,Female,Smokeless Tobacco Use (Youth),1.9,38,30,28,0,Medium,Low,Moderate,None,5,Media Influence,No
Mississippi,Male,Smokeless Tobacco Use (Youth),14.4,25,36,11,5,High,High,Moderate,Family & Friends,9,Curiosity,No
Alabama,Female,Smokeless Tobacco Use (Youth),0.3,45,34,37,2,Medium,Low,Moderate,Professional Help,2,Peer Pressure,Yes
New Hampshire,Male,Smokeless Tobacco Use (Youth),18.6,22,16,28,5,High,Medium,Sedentary,None,2,Family Influence,No
West Virginia,Overall,Cigarette Use (Youth),27.8,34,24,35,8,Low,Medium,Sedentary,Professional Help,5,Media Influence,No
Louisiana,Female,Cigarette Use (Youth),5.8,54,14,15,5,Medium,Low,Moderate,None,2,Media Influence,No
Kentucky,Overall,Smokeless Tobacco Use (Youth),7.8,53,26,16,7,Medium,Low,Moderate,Family & Friends,1,Peer Pressure,Yes
Delaware,Female,Smokeless Tobacco Use (Youth),0.5,36,8,7,5,Low,Medium,Sedentary,Professional Help,1,Peer Pressure,Yes
Kentucky,Overall,Cessation (Youth),53.4,44,14,3,5,Medium,High,Active,None,2,Curiosity,No
Georgia,Male,Smokeless Tobacco Use (Youth),18.1,51,31,31,6,High,Low,Sedentary,Family & Friends,1,Stress Relief,Yes
